"Game Reference Key","Notes","Displayed Text","Alternate Text","Frequency","Requires Suffix","Misc."
"ransom ",,"Volitelné: Umístěte aktovku s Cr|killer.nextmurder.ransom| do suterénu na |ransomlocation|",,,,"16:08 28/03/2024"
"call to trigger ransom ",,"Volitelné: Pro spuštění výkupného zavolejte: ",,,,"11:58 29/03/2024"
"ransom_wait",,"Čekám, až bude vyzvednuto výkupné...",,,,"12:00 29/03/2024"
"set_victim_free",,"Zachraňte |killer.nextmurder.victim.name| do |killer.nextmurder.kidnapkilltime.time12rounded15|",,,,
"ransom_wait_free",,"Čekám, až bude |killer.nextmurder.victim.name| propuštěn...",,,,"16:07 29/03/2024"
"what is the full name of the kidnapper?",,"Jaké je celé jméno únosce?",,,,"11:18 24/04/2024"
"arrest the kidnapper",,"Zatkněte únosce",,,,"11:18 24/04/2024"
"where is the kidnapper's den located?",,"Kde se nachází únosčí doupě?",,,,"11:18 24/04/2024"
"save the life of the kidnapper's victim",,"Zachraňte život oběti únosce",,,,"11:18 24/04/2024"
"the meeting failed!",,"Schůzka selhala!",,,,"16:44 29/10/2024"
