"Game Reference Key","Notes","Displayed Text","Alternate Text","Frequency","Requires Suffix","Misc."
"increase health regeneration by a further |upgradevalue%|%",,"Zvyšte regeneraci zdraví o dalších |upgradevalue%|%",,,,"11:49 05/09/2022"
"vitality",,"Vitalita",,,,"11:49 05/09/2022"
"care in the community",,"Péče v komunitě",,,,"11:49 05/09/2022"
"recieve a further |upgradevalue%|% more money for completing side jobs",,"Získejte o dalších |upgradevalue%|% více peněz za plnění vedlejších úkolů",,,,"11:49 05/09/2022"
"heavy lifter",,"Těžký zvedač",,,,"11:49 05/09/2022"
"rogue",,"Podvodník",,,,"11:49 05/09/2022"
"increase time citizens are knocked out by further |upgradevalue%|%",,"Prodlužte dobu, po kterou jsou občané v bezvědomí, o dalších |upgradevalue%|%",,,,"11:49 05/09/2022"
"hacker",,"Hacker",,,,"11:49 05/09/2022"
"increase time security systems are disabled by breaker switches by a further |upgradevalue%|%",,"Prodlužte dobu, po kterou jsou bezpečnostní systémy vypnuty jističi, o dalších |upgradevalue%|%",,,,"11:49 05/09/2022"
"non consumption of starch kola products will result in blurred vision and poor health.",,"Nekonzumace produktů Starch Kola bude mít za následek rozmazané vidění a špatné zdraví.",,,,"11:49 05/09/2022"
"down payment",,"Záloha",,,,"11:49 05/09/2022"
"reduce the uninstall cost by |city.currency||upgradevalue|",,"Snižte náklady na odinstalaci o |city.currency||upgradevalue|",,,,"11:49 05/09/2022"
"mailing list",,"Seznam adresátů",,,,"11:49 05/09/2022"
"safecacker",,"Trezoň",,,,"11:49 10/10/2022"
"street cleaner",,"Uliční čistič",,,,"11:49 05/09/2022"
"increase cash gained by |city.currency||upgradevalue|",,"Zvyšte získané peníze o |city.currency||upgradevalue|",,,,"11:49 05/09/2022"
"bookworm",,"Knižní červ",,,,"11:49 05/09/2022"
"get a cash bonus of |city.currency||upgradevalue| for reading all books in a series",,"Získejte peněžní bonus |city.currency||upgradevalue| za přečtení všech knih v sérii",,,,"11:49 05/09/2022"
"the other non-upgraded configuration(s) of this sync disk is active",,"Ostatní neupgradované konfigurace tohoto synchronizačního disku jsou aktivní",,,,"11:49 05/09/2022"
"statuesque",,"Sošný",,,,"11:49 05/09/2022"
"alter height by a further |upgradevalue%|%",,"Změňte výšku o dalších |upgradevalue%|%",,,,"11:49 05/09/2022"
"compact",,"Kompaktní",,,,"11:49 05/09/2022"
"kaizen-doveplus",,"Kaizen-VLove Plus",,,,"11:24 30/01/2024"
